step,eval_reward,policy_loss,value_loss,entropy,approx_kl,clipfrac,lr
10000,-88.99999999999903,0,0,0,0,0,0
20000,-40.12000000000069,0,0,0,0,0,0
30000,-22.160000000000434,0,0,0,0,0,0
40000,-12.580000000000002,0,0,0,0,0,0
50000,-16.400000000000187,0,0,0,0,0,0
60000,-0.040000000000124915,0,0,0,0,0,0
70000,-1.520000000000164,0,0,0,0,0,0
80000,-3.8200000000001872,0,0,0,0,0,0
90000,-40.01999999999997,0,0,0,0,0,0
100000,-14.900000000000173,0,0,0,0,0,0
110000,-18.019999999999488,0,0,0,0,0,0
120000,-27.4200000000001,0,0,0,0,0,0
130000,-15.200000000000154,0,0,0,0,0,0
140000,-1.0600000000001004,0,0,0,0,0,0
150000,-17.180000000000366,0,0,0,0,0,0
160000,-4.680000000000005,0,0,0,0,0,0
170000,-24.90000000000031,0,0,0,0,0,0
180000,-44.0399999999996,0,0,0,0,0,0
190000,-14.159999999999272,0,0,0,0,0,0
200000,-14.440000000000179,0,0,0,0,0,0
210000,-0.18000000000007113,0,0,0,0,0,0
220000,-21.77999999999971,0,0,0,0,0,0
230000,-16.620000000000154,0,0,0,0,0,0
240000,-26.0799999999995,0,0,0,0,0,0
250000,-29.76000000000021,0,0,0,0,0,0
260000,-10.93999999999987,0,0,0,0,0,0
270000,-9.30000000000005,0,0,0,0,0,0
280000,-14.880000000000177,0,0,0,0,0,0
290000,-37.27999999999931,0,0,0,0,0,0
300000,-1.7800000000001652,0,0,0,0,0,0
310000,-1.0000000000001013,0,0,0,0,0,0
320000,-16.8000000000002,0,0,0,0,0,0
330000,-1.1000000000001364,0,0,0,0,0,0
340000,-2.0800000000001324,0,0,0,0,0,0
350000,-15.400000000000341,0,0,0,0,0,0
360000,-9.900000000005338,0,0,0,0,0,0
370000,4.060000000001014,0,0,0,0,0,0
380000,25.659999999992998,0,0,0,0,0,0
390000,30.279999999993937,0,0,0,0,0,0
400000,58.81999999999262,0,0,0,0,0,0
410000,50.37999999999108,0,0,0,0,0,0
420000,69.17999999999282,0,0,0,0,0,0
430000,72.539999999992,0,0,0,0,0,0
440000,41.35999999998921,0,0,0,0,0,0
450000,34.159999999990916,0,0,0,0,0,0
460000,55.87999999999353,0,0,0,0,0,0
470000,57.35999999999318,0,0,0,0,0,0
480000,63.3999999999892,0,0,0,0,0,0
490000,61.5599999999889,0,0,0,0,0,0
500000,99.77999999998683,0,0,0,0,0,0
510000,103.33999999999583,0,0,0,0,0,0
520000,78.41999999999372,0,0,0,0,0,0
530000,110.67999999999385,0,0,0,0,0,0
540000,57.85999999999391,0,0,0,0,0,0
550000,103.53999999999417,0,0,0,0,0,0
560000,143.6599999999897,0,0,0,0,0,0
570000,150.43999999998897,0,0,0,0,0,0
580000,131.13999999998964,0,0,0,0,0,0
590000,82.37999999999053,0,0,0,0,0,0
600000,121.55999999998812,0,0,0,0,0,0
610000,129.37999999998834,0,0,0,0,0,0
620000,129.89999999998707,0,0,0,0,0,0
630000,107.01999999998861,0,0,0,0,0,0
640000,139.79999999999205,0,0,0,0,0,0
650000,180.71999999999048,0,0,0,0,0,0
660000,135.75999999999007,0,0,0,0,0,0
670000,160.2599999999915,0,0,0,0,0,0
680000,150.29999999999006,0,0,0,0,0,0
690000,128.27999999999133,0,0,0,0,0,0
700000,143.6399999999906,0,0,0,0,0,0
710000,113.1999999999902,0,0,0,0,0,0
720000,121.79999999998738,0,0,0,0,0,0
730000,106.29999999999013,0,0,0,0,0,0
740000,72.69999999998609,0,0,0,0,0,0
750000,70.15999999999156,0,0,0,0,0,0
760000,101.81999999998898,0,0,0,0,0,0
770000,116.85999999998785,0,0,0,0,0,0
780000,79.79999999998795,0,0,0,0,0,0
790000,90.09999999999054,0,0,0,0,0,0
800000,69.11999999999054,0,0,0,0,0,0
810000,58.93999999998668,0,0,0,0,0,0
820000,106.23999999998833,0,0,0,0,0,0
830000,105.33999999998818,0,0,0,0,0,0
840000,113.31999999999016,0,0,0,0,0,0
850000,160.0399999999885,0,0,0,0,0,0
860000,125.4199999999873,0,0,0,0,0,0
870000,116.87999999998729,0,0,0,0,0,0
880000,103.2799999999861,0,0,0,0,0,0
890000,117.65999999998769,0,0,0,0,0,0
900000,116.79999999998662,0,0,0,0,0,0
910000,116.49999999998779,0,0,0,0,0,0
920000,107.1799999999876,0,0,0,0,0,0
930000,82.5999999999921,0,0,0,0,0,0
940000,163.99999999998732,0,0,0,0,0,0
950000,85.6799999999856,0,0,0,0,0,0
960000,88.09999999998834,0,0,0,0,0,0
970000,130.1199999999866,0,0,0,0,0,0
980000,126.93999999998853,0,0,0,0,0,0
990000,129.01999999998844,0,0,0,0,0,0
1000000,89.13999999998973,0,0,0,0,0,0
